,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
14,14,CLE,Ochai Agbaji,Kansas,4,225,4990,1692,634,266,.447,.344,.742,22.2,7.5,2.8,1.2,4.9,.047,-2.9,-1.1
15,15,CHO,Mark Williams,Duke,4,132,3143,1645,1149,179,.632,.200,.757,23.8,12.5,8.7,1.4,13.0,.198,2.2,3.4
16,16,ATL,AJ Griffin,Duke,2,92,1572,687,171,78,.447,.372,.898,17.1,7.5,1.9,0.8,1.8,.053,-1.7,0.1
17,17,HOU,Tari Eason,LSU,4,175,3982,1823,1079,221,.469,.364,.734,22.8,10.4,6.2,1.3,9.8,.118,1.0,3.0
18,18,CHI,Dalen Terry,Arizona,4,186,2055,642,302,220,.450,.295,.650,11.0,3.5,1.6,1.2,2.6,.060,-2.8,-0.4
19,19,MIN,Jake LaRavia,Wake Forest,4,165,3296,1193,572,292,.434,.363,.738,20.0,7.2,3.5,1.8,5.6,.081,-1.2,0.6
20,20,SAS,Malaki Branham,Ohio State,4,203,3684,1652,405,332,.439,.334,.839,18.1,8.1,2.0,1.6,-0.2,-.003,-5.1,-2.9
21,21,DEN,Christian Braun,Kansas,4,248,5836,2303,945,429,.526,.375,.755,23.5,9.3,3.8,1.7,14.0,.115,-1.0,1.5
22,22,MEM,Walker Kessler,Auburn,4,201,5090,1910,1862,241,.681,.266,.545,25.3,9.5,9.3,1.2,17.1,.161,2.0,5.1
23,23,PHI,David Roddy,Colorado State,3,168,2845,1044,488,174,.421,.302,.679,16.9,6.2,2.9,1.0,1.7,.029,-4.0,-1.4
24,24,MIL,MarJon Beauchamp,,3,135,1465,556,258,77,.430,.354,.718,10.9,4.1,1.9,0.6,1.2,.038,-4.0,-0.8
25,25,SAS,Blake Wesley,Notre Dame,4,162,2326,705,250,397,.409,.291,.632,14.4,4.4,1.5,2.5,-0.4,-.008,-5.5,-2.1
26,26,DAL,Wendell Moore Jr.,Duke,4,93,770,216,129,69,.461,.246,.815,8.3,2.3,1.4,0.7,0.9,.056,-2.6,-0.1
27,27,MIA,Nikola Jović,,4,127,2624,1075,477,285,.438,.357,.790,20.7,8.5,3.8,2.2,4.6,.085,-0.6,0.9
28,28,GSW,Patrick Baldwin Jr.,UW-Milwaukee,3,93,826,343,188,43,.405,.373,.658,8.9,3.7,2.0,0.5,0.6,.032,-3.1,-0.2
29,29,MEM,TyTy Washington Jr.,Kentucky,3,58,607,194,63,68,.347,.234,.542,10.5,3.3,1.1,1.2,-0.4,-.031,-6.8,-0.7
30,30,OKC,Peyton Watson,UCLA,4,199,4079,1454,657,234,.479,.343,.687,20.5,7.3,3.3,1.2,6.8,.080,-1.9,0.2
31,31,IND,Andrew Nembhard,Gonzaga,4,231,6376,2389,610,1096,.458,.339,.808,27.6,10.3,2.6,4.7,7.0,.053,-2.5,-0.7
32,32,ORL,Caleb Houstan,Michigan,4,176,2458,705,263,96,.393,.375,.844,14.0,4.0,1.5,0.5,4.0,.078,-2.7,-0.5
33,33,TOR,Christian Koloko,Arizona,3,100,1198,278,272,49,.523,.063,.644,12.0,2.8,2.7,0.5,2.8,.113,-3.0,-0.3
34,34,OKC,Jaylin Williams,Arkansas,4,190,3053,979,855,367,.419,.371,.734,16.1,5.2,4.5,1.9,8.6,.135,1.0,2.3
35,35,LAL,Max Christie,Michigan State,4,216,4434,1504,574,284,.437,.390,.842,20.5,7.0,2.7,1.3,5.7,.061,-2.4,-0.4
36,36,POR,Gabriele Procida,,,,,,,,,,,,,,,,,,
37,37,SAC,Jaden Hardy,,4,201,2863,1581,338,268,.423,.380,.770,14.2,7.9,1.7,1.3,0.7,.012,-3.9,-1.3
38,38,SAS,Kennedy Chandler,Tennessee,1,36,281,78,38,58,.422,.133,.462,7.8,2.2,1.1,1.6,0.3,.044,-2.7,0.0
39,39,CLE,Khalifa Diop,,,,,,,,,,,,,,,,,,
40,40,MIN,Bryce McGowens,Nebraska,4,138,2064,718,242,136,.432,.349,.766,15.0,5.2,1.8,1.0,1.5,.035,-4.8,-1.5
41,41,NOP,E.J. Liddell,Ohio State,3,27,108,39,23,4,.424,.217,.857,4.0,1.4,0.9,0.1,0.1,.058,-4.8,-0.1
42,42,NYK,Trevor Keels,Duke,1,3,8,3,2,0,.250,.250,,2.7,1.0,0.7,0.0,0.0,-.062,-13.0,0.0
43,43,LAC,Moussa Diabaté,Michigan,4,134,2182,731,754,100,.595,.125,.624,16.3,5.5,5.6,0.7,6.6,.145,-1.2,0.4
44,44,ATL,Ryan Rollins,Toledo,4,112,1923,946,260,304,.479,.400,.782,17.2,8.4,2.3,2.7,3.5,.087,-0.2,0.9
45,45,CHO,Josh Minott,Memphis,4,121,971,399,203,63,.497,.397,.851,8.0,3.3,1.7,0.5,3.3,.164,1.9,1.0
46,46,DET,Ismael Kamagate,,,,,,,,,,,,,,,,,,
47,47,MEM,Vince Williams Jr.,VCU,4,116,2521,892,496,342,.404,.317,.801,21.7,7.7,4.3,2.9,3.2,.061,-1.5,0.3
48,48,MIN,Kendall Brown,Baylor,2,21,103,30,11,8,.545,.000,.600,4.9,1.4,0.5,0.4,0.1,.055,-5.3,-0.1
49,49,CLE,Isaiah Mobley,USC,3,23,173,60,34,14,.407,.333,.714,7.5,2.6,1.5,0.6,0.3,.090,-3.0,0.0
50,50,MIN,Matteo Spagnolo,,,,,,,,,,,,,,,,,,
51,51,GSW,Tyrese Martin,UConn,3,103,1924,757,316,188,.401,.340,.774,18.7,7.3,3.1,1.8,1.2,.031,-2.7,-0.3
52,52,NOP,Karlo Matković,,2,64,1041,424,281,64,.585,.345,.685,16.3,6.6,4.4,1.0,2.1,.098,-1.5,0.1
53,53,BOS,JD Davison,Alabama,4,49,280,88,36,46,.398,.310,.600,5.7,1.8,0.7,0.9,0.3,.044,-2.9,-0.1
54,54,WAS,Yannick Nzosa,,,,,,,,,,,,,,,,,,
55,55,GSW,Gui Santos,,3,102,1165,384,267,109,.463,.335,.747,11.4,3.8,2.6,1.1,2.7,.110,-1.8,0.1
56,56,CLE,Luke Travers,,2,24,191,40,44,17,.250,.040,1.000,8.0,1.7,1.8,0.7,-0.1,-.026,-6.4,-0.2
57,57,POR,Jabari Walker,Colorado,4,216,3455,1289,951,157,.461,.315,.738,16.0,6.0,4.4,0.7,5.8,.081,-3.4,-1.2
58,58,IND,Hugo Besson,,,,,,,,,,,,,,,,,,
,,,,,Milwaukee Bucks forfeited their Second Round pick.,Milwaukee Bucks forfeited their Second Round pick.,Milwaukee Bucks forfeited their Second Round pick.,Milwaukee Bucks forfeited their Second Round pick.,Milwaukee Bucks forfeited their Second Round pick.,Milwaukee Bucks forfeited their Second Round pick.,Milwaukee Bucks forfeited their Second Round pick.,Milwaukee Bucks forfeited their Second Round pick.,Milwaukee Bucks forfeited their Second Round pick.,Milwaukee Bucks forfeited their Second Round pick.,Milwaukee Bucks forfeited their Second Round pick.,Milwaukee Bucks forfeited their Second Round pick.,Milwaukee Bucks forfeited their Second Round pick.,Milwaukee Bucks forfeited their Second Round pick.,Milwaukee Bucks forfeited their Second Round pick.,Milwaukee Bucks forfeited their Second Round pick.,Milwaukee Bucks forfeited their Second Round pick.
,,,,,Miami Heat forfeited their Second Round pick.,Miami Heat forfeited their Second Round pick.,Miami Heat forfeited their Second Round pick.,Miami Heat forfeited their Second Round pick.,Miami Heat forfeited their Second Round pick.,Miami Heat forfeited their Second Round pick.,Miami Heat forfeited their Second Round pick.,Miami Heat forfeited their Second Round pick.,Miami Heat forfeited their Second Round pick.,Miami Heat forfeited their Second Round pick.,Miami Heat forfeited their Second Round pick.,Miami Heat forfeited their Second Round pick.,Miami Heat forfeited their Second Round pick.,Miami Heat forfeited their Second Round pick.,Miami Heat forfeited their Second Round pick.,Miami Heat forfeited their Second Round pick.,Miami Heat forfeited their Second Round pick.
