,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,ORL,Paolo Banchero,Duke,4,219,7499,4855,1570,1010,.444,.313,.735,34.2,22.2,7.2,4.6,12.5,.080,0.8,5.4
2,2,OKC,Chet Holmgren,Gonzaga,3,140,4037,2301,1108,304,.528,.374,.782,28.8,16.4,7.9,2.2,15.2,.181,3.1,5.2
3,3,HOU,Jabari Smith Jr.,Auburn,4,239,7525,3175,1767,334,.435,.345,.802,31.5,13.3,7.4,1.4,14.1,.090,-1.5,0.9
4,4,SAC,Keegan Murray,Iowa,4,248,8136,3314,1394,358,.450,.366,.807,32.8,13.4,5.6,1.4,14.3,.084,-1.1,1.8
5,5,DET,Jaden Ivey,Purdue,4,197,5658,3048,709,830,.431,.354,.747,28.7,15.5,3.6,4.2,2.3,.019,-2.5,-0.7
6,6,IND,Bennedict Mathurin,Arizona,4,229,6563,3677,1048,414,.443,.345,.831,28.7,16.1,4.6,1.8,6.8,.050,-3.3,-2.2
7,7,POR,Shaedon Sharpe,Kentucky,4,211,5880,3224,839,451,.450,.329,.776,27.9,15.3,4.0,2.1,5.1,.042,-2.2,-0.2
8,8,NOP,Dyson Daniels,,4,227,6024,2008,1072,805,.474,.306,.612,26.5,8.8,4.7,3.5,10.5,.084,0.1,3.3
9,9,SAS,Jeremy Sochan,Baylor,4,204,5318,2196,1188,544,.469,.289,.723,26.1,10.8,5.8,2.7,4.9,.044,-2.9,-1.2
10,10,WAS,Johnny Davis,Wisconsin,3,112,1278,395,175,71,.397,.273,.561,11.4,3.5,1.6,0.6,-0.4,-.013,-6.2,-1.3
11,11,NYK,Ousmane Dieng,,4,126,1552,542,267,129,.427,.310,.754,12.3,4.3,2.1,1.0,2.3,.070,-2.5,-0.2
12,12,OKC,Jalen Williams,Santa Clara,4,227,7092,4112,1048,988,.509,.380,.806,31.2,18.1,4.6,4.4,21.8,.147,2.2,7.6
13,13,CHO,Jalen Duren,Memphis,4,234,6284,2882,2414,480,.650,.000,.699,26.9,12.3,10.3,2.1,22.2,.170,1.1,4.9
