,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
41,41,PHI,Adem Bona,UCLA,2,79,1244,414,320,30,.669,.333,.657,15.7,5.2,4.1,0.4,2.9,.113,-2.9,-0.3
42,42,CHO,KJ Simpson,Colorado,2,50,1065,366,138,147,.346,.266,.773,21.3,7.3,2.8,2.9,-0.7,-.033,-5.5,-1.0
43,43,MIA,Nikola Djurisic,,,,,,,,,,,,,,,,,,
44,44,HOU,Pelle Larsson,Arizona,2,80,1337,481,158,146,.449,.347,.722,16.7,6.0,2.0,1.8,2.6,.095,-2.1,0.0
45,45,SAC,Jamal Shead,Houston,2,107,2111,735,175,486,.391,.325,.772,19.7,6.9,1.6,4.5,2.0,.045,-3.3,-0.7
46,46,LAC,Cam Christie,Minnesota,2,32,252,92,48,17,.333,.262,.676,7.9,2.9,1.5,0.5,0.1,.019,-3.5,-0.1
47,47,ORL,Antonio Reeves,Kentucky,2,50,713,326,68,41,.458,.403,.800,14.3,6.5,1.4,0.8,0.5,.035,-3.0,-0.2
48,48,SAS,Harrison Ingram,UNC,2,8,46,9,12,3,.571,.500,,5.8,1.1,1.5,0.4,0.1,.138,0.3,0.0
49,49,IND,Tristen Newton,UConn,1,8,16,3,4,2,.125,.000,1.000,2.0,0.4,0.5,0.3,-0.1,-.330,-20.7,-0.1
50,50,IND,Enrique Freeman,University of Akron,1,22,181,46,30,9,.432,.100,.684,8.2,2.1,1.4,0.4,0.2,.046,-6.3,-0.2
51,51,NYK,Melvin Ajinça,,,,,,,,,,,,,,,,,,
52,52,GSW,Quinten Post,Boston College,2,73,1268,581,286,103,.435,.370,.778,17.4,8.0,3.9,1.4,2.8,.106,0.0,0.7
53,53,DET,Cam Spencer,UConn,2,55,946,482,103,174,.480,.464,.938,17.2,8.8,1.9,3.2,3.5,.177,3.2,1.2
54,54,BOS,Anton Watson,Gonzaga,1,9,22,8,3,2,.444,.000,,2.4,0.9,0.3,0.2,0.0,-.070,-10.1,0.0
55,55,LAL,Bronny James,USC,2,43,319,91,28,44,.317,.286,.813,7.4,2.1,0.7,1.0,-0.3,-.042,-6.5,-0.4
56,56,PHO,Kevin McCullar Jr.,Kansas,2,7,35,9,9,2,.375,.500,1.000,5.0,1.3,1.3,0.3,0.0,.043,-5.1,0.0
57,57,MEM,Ulrich Chomche,,1,7,32,5,8,2,.400,,.500,4.6,0.7,1.1,0.3,0.0,.001,-7.4,0.0
58,58,DAL,Ariel Hukporti,,2,44,386,73,98,22,.600,,.520,8.8,1.7,2.2,0.5,0.3,.040,-4.8,-0.3
59,59,PHI,,,,,,,,,,,,,,,,,,,
60,60,PHO,,,,,,,,,,,,,,,,,,,
