,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
36,36,BRK,Adou Thiero,Arkansas,1,13,78,18,12,3,.429,.000,.750,6.0,1.4,0.9,0.2,0.0,.029,-7.2,-0.1
37,37,DET,Chaz Lanier,Tennessee,1,13,133,43,14,10,.333,.324,1.000,10.2,3.3,1.1,0.8,0.3,.099,-2.0,0.0
38,38,SAS,Kam Jones,Marquette,1,3,9,9,0,2,1.000,1.000,,3.0,3.0,0.0,0.7,0.1,.446,23.6,0.1
39,39,TOR,Alijah Martin,Florida,1,2,7,0,0,0,.000,,,3.5,0.0,0.0,0.0,0.0,-.049,-4.9,0.0
40,40,WAS,Micah Peavy,Georgetown,1,26,390,120,60,25,.413,.250,.714,15.0,4.6,2.3,1.0,0.2,.020,-5.1,-0.3
41,41,GSW,Koby Brea,Kentucky,1,2,8,4,1,2,.333,.000,1.000,4.0,2.0,0.5,1.0,0.0,.194,-2.9,0.0
42,42,SAC,Maxime Raynaud,Stanford,1,22,460,219,129,22,.520,.316,.761,20.9,10.0,5.9,1.0,0.6,.060,-3.6,-0.2
43,43,UTA,Jamir Watkins,Florida State,1,12,144,38,30,6,.542,.308,1.000,12.0,3.2,2.5,0.5,0.2,.076,-4.3,-0.1
44,44,OKC,Brooks Barnhizer,Northwestern,1,20,153,29,36,9,.462,.200,.667,7.7,1.5,1.8,0.5,0.4,.112,-2.0,0.0
45,45,CHI,Rocco Zikarsky,,,,,,,,,,,,,,,,,,
46,46,ORL,Amari Williams,Kentucky,1,6,31,3,7,1,.500,,.500,5.2,0.5,1.2,0.2,0.1,.123,-1.5,0.0
47,47,MIL,Bogoljub Markovic,,,,,,,,,,,,,,,,,,
48,48,MEM,Javon Small,West Virginia,1,10,114,34,10,29,.294,.261,.800,11.4,3.4,1.0,2.9,0.0,.005,-6.1,-0.1
49,49,CLE,Tyrese Proctor,Duke,1,23,274,119,33,33,.333,.293,.826,11.9,5.2,1.4,1.4,0.1,.022,-5.8,-0.3
50,50,NYK,Kobe Sanders,Nevada,1,22,418,142,44,28,.457,.400,.923,19.0,6.5,2.0,1.3,0.1,.013,-4.4,-0.2
51,51,LAC,Mohamed Diawara,,1,22,95,28,15,10,.379,.333,.250,4.3,1.3,0.7,0.5,0.0,-.001,-5.0,-0.1
52,52,PHO,Alex Toohey,,,,,,,,,,,,,,,,,,
53,53,UTA,John Tonje,Wisconsin,,,,,,,,,,,,,,,,,
54,54,IND,Taelon Peter,Liberty,1,18,114,27,17,14,.258,.241,.800,6.3,1.5,0.9,0.8,-0.1,-.063,-6.3,-0.1
55,55,LAL,Lachlan Olbrich,,1,5,36,2,11,3,.167,.000,,7.2,0.4,2.2,0.6,-0.1,-.081,-11.7,-0.1
56,56,MEM,Will Richard,Florida,1,26,485,208,70,27,.533,.405,.800,18.7,8.0,2.7,1.0,1.5,.152,0.7,0.3
57,57,ORL,Max Shulga,VCU,,,,,,,,,,,,,,,,,
58,58,CLE,Saliou Niang,,,,,,,,,,,,,,,,,,
59,59,HOU,Jahmai Mashack,Tennessee,1,6,21,6,5,2,.286,.400,,3.5,1.0,0.8,0.3,-0.1,-.128,-8.7,0.0
60,60,NYK,,,,,,,,,,,,,,,,,,,
