Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
267,Cole Anthony,25,MIL,PG,26,0,15.4,2.8,6.7,.428,0.6,2.0,.288,2.3,4.7,.488,.471,0.5,0.8,.591,0.4,2.2,2.6,3.8,0.7,0.3,1.9,2.2,6.8,,anthoco01
268,Luke Kennard,29,ATL,SG,28,0,20.2,2.3,4.9,.478,1.3,3.0,.424,1.0,1.8,.569,.610,0.8,0.9,.920,0.4,1.5,1.9,2.2,0.8,0.0,0.9,1.3,6.8,,kennalu01
269,Josh Okogie,27,HOU,SG,27,21,21.9,2.3,5.0,.463,1.1,2.7,.411,1.2,2.3,.524,.574,1.0,1.4,.730,1.4,1.6,3.0,1.1,1.2,0.2,0.9,2.0,6.8,,okogijo01
270,Kyle Anderson,32,UTA,SF,9,0,17.9,2.7,5.4,.490,0.1,0.1,1.000,2.6,5.3,.479,.500,1.2,1.7,.733,0.8,1.8,2.6,3.1,1.4,0.3,1.0,2.6,6.7,,anderky01
271,Patrick Williams,24,CHI,PF,28,1,19.3,2.3,6.2,.376,1.3,3.3,.407,1.0,2.9,.341,.483,0.8,1.2,.636,0.8,2.3,3.0,1.2,0.8,0.3,0.9,1.5,6.7,,willipa01
272,Josh Minott,23,BOS,PF,28,10,18.1,2.4,4.6,.508,1.1,2.6,.444,1.2,2.1,.586,.631,0.7,0.9,.769,1.4,2.7,4.1,1.1,0.8,0.4,0.6,1.8,6.6,,minotjo01
273,Tidjane Salaün,20,CHO,PF,17,0,15.9,2.3,4.8,.481,1.1,2.5,.442,1.2,2.2,.526,.599,0.9,1.4,.696,0.6,3.1,3.6,0.9,0.5,0.2,0.5,1.6,6.6,,salauti01
274,Nae'Qwan Tomlin,25,CLE,PF,22,2,15.5,2.6,5.4,.479,0.5,2.0,.233,2.1,3.5,.618,.521,1.0,1.5,.688,1.5,1.5,3.0,0.6,0.8,0.6,0.4,2.0,6.6,,tomlina01
275,Javonte Green,32,DET,SG,30,3,18.4,2.2,5.2,.420,0.9,2.7,.325,1.3,2.6,.519,.503,1.2,1.6,.771,0.8,2.0,2.7,0.8,1.3,0.3,0.7,1.5,6.5,,greenja02
276,Kobe Sanders,23,LAC,SG,21,3,19.1,2.2,4.9,.447,1.0,2.6,.389,1.2,2.3,.510,.549,1.1,1.2,.923,0.4,1.5,1.9,1.3,0.6,0.1,1.5,2.1,6.5,,sandeko01
277,Ben Sheppard,24,IND,SG,22,11,25.0,2.4,6.7,.354,1.1,4.0,.273,1.3,2.7,.475,.435,0.7,0.9,.789,0.8,3.3,4.1,2.0,0.6,0.1,0.7,2.0,6.5,,sheppbe01
278,Jordan Miller,26,LAC,SF,8,0,12.9,1.8,3.9,.452,0.8,1.9,.400,1.0,2.0,.500,.548,2.1,2.5,.850,1.1,1.6,2.8,1.1,0.3,0.1,1.1,0.6,6.4,,millejo02
279,Dru Smith,28,MIA,SG,30,1,17.3,2.2,5.2,.420,0.7,2.3,.324,1.5,3.0,.494,.490,1.3,1.6,.796,0.9,1.6,2.5,2.9,1.5,0.3,0.9,1.5,6.4,,smithdr01
280,Walter Clayton,22,UTA,PG,25,0,16.1,2.1,5.2,.403,0.8,2.8,.290,1.3,2.4,.533,.481,1.3,1.4,.943,0.4,1.6,2.0,3.2,0.5,0.2,1.2,1.8,6.3,,claytwa01
281,Luka Garza,27,BOS,C,21,1,14.2,2.2,3.9,.568,0.5,1.3,.407,1.7,2.6,.648,.636,1.4,1.9,.769,2.5,1.6,4.0,1.0,0.3,0.5,0.4,2.5,6.3,,garzalu01
282,Taylor Hendricks,22,UTA,PF,18,3,15.6,2.2,4.4,.494,0.9,2.1,.421,1.3,2.3,.561,.595,1.1,1.3,.792,1.2,2.2,3.4,0.6,0.5,0.2,0.4,1.1,6.3,,hendrta01
283,Mac McClung,27,IND,SG,3,0,11.3,2.3,6.0,.389,0.7,3.3,.200,1.7,2.7,.625,.444,1.0,1.3,.750,0.0,1.3,1.3,0.3,1.7,0.3,0.7,2.0,6.3,,mccluma01
284,De'Anthony Melton,27,GSW,PG,7,0,17.7,1.9,6.9,.271,0.4,3.4,.125,1.4,3.4,.417,.302,2.1,2.7,.789,0.1,0.9,1.0,2.0,1.7,0.6,1.4,2.3,6.3,,meltode01
285,Jamal Shead,23,TOR,PG,31,1,20.2,2.1,5.7,.360,1.1,3.2,.333,1.0,2.5,.392,.452,1.1,1.5,.778,0.4,1.5,1.9,5.4,1.1,0.1,1.3,2.0,6.3,,sheadja01
286,Kenrich Williams,31,OKC,PF,10,0,15.6,2.6,4.8,.542,0.8,2.0,.400,1.8,2.8,.643,.625,0.3,0.6,.500,0.5,2.2,2.7,1.8,0.5,0.0,0.7,1.2,6.3,,willike04
287,Gradey Dick,22,TOR,SG,31,0,15.7,2.0,5.2,.389,0.9,2.9,.311,1.1,2.3,.486,.475,1.1,1.4,.833,0.4,1.4,1.8,0.6,0.7,0.1,0.5,1.2,6.1,,dickgr01
288,Bones Hyland,25,MIN,PG,21,3,12.8,2.1,4.5,.474,1.1,3.1,.369,1.0,1.4,.700,.600,0.7,0.9,.833,0.3,1.0,1.3,2.1,0.6,0.2,0.9,1.6,6.1,,hylanbo01
289,Taurean Prince,31,MIL,SF,8,0,21.1,2.1,4.8,.447,1.5,3.5,.429,0.6,1.3,.500,.605,0.4,0.4,1.000,0.0,1.6,1.6,1.0,0.8,0.3,0.6,2.5,6.1,,princta02
290,Robert Williams,28,POR,C,19,1,15.7,2.7,3.9,.693,0.1,0.5,.111,2.7,3.5,.773,.700,0.5,0.8,.667,2.1,3.9,5.9,0.9,0.6,1.5,0.6,1.3,6.1,,williro04
291,A.J. Lawson,25,TOR,SG,2,0,8.0,2.0,5.0,.400,1.0,2.0,.500,1.0,3.0,.333,.500,1.0,1.0,1.000,0.5,2.0,2.5,0.0,0.0,1.0,0.0,2.5,6.0,,lawsoaj01
292,Brook Lopez,37,LAC,C,22,1,15.2,2.1,5.3,.397,1.3,3.6,.367,0.8,1.7,.459,.522,0.5,0.7,.733,0.3,1.9,2.2,0.7,0.3,1.0,0.9,1.8,6.0,,lopezbr01
293,Drake Powell,20,BRK,SG,19,0,17.7,2.1,4.3,.488,0.7,1.9,.378,1.4,2.4,.578,.573,1.1,1.1,.952,0.2,1.6,1.8,1.9,0.7,0.2,1.2,1.7,6.0,,poweldr01
294,KJ Simpson,23,CHO,PG,14,2,15.9,2.2,6.4,.348,0.9,2.8,.308,1.4,3.6,.380,.416,0.7,1.1,.625,0.4,1.7,2.1,2.5,1.1,0.0,1.7,1.0,6.0,,simpskj01
295,Blake Wesley,22,POR,SG,6,0,16.3,2.3,5.7,.412,0.3,1.7,.200,2.0,4.0,.500,.441,1.0,1.7,.600,0.3,2.0,2.3,3.2,1.7,0.2,1.2,2.3,6.0,,weslebl01
296,Goga Bitadze,26,ORL,C,28,0,16.7,2.3,3.4,.691,0.1,0.3,.250,2.3,3.1,.733,.702,1.2,1.5,.786,1.9,3.2,5.0,1.4,0.8,1.3,0.6,2.1,5.9,,bitadgo01
297,Jaden Hardy,23,DAL,SG,23,1,11.3,2.0,4.9,.402,1.1,3.0,.368,0.9,1.9,.455,.513,0.9,1.0,.833,0.3,1.0,1.3,0.6,0.2,0.1,0.8,1.2,5.9,,hardyja02
298,Jaxson Hayes,25,LAL,C,25,4,17.2,2.4,3.1,.766,0.0,0.0,1.000,2.3,3.0,.763,.773,1.1,1.7,.667,1.3,2.7,4.0,1.0,0.3,0.6,0.6,1.9,5.9,,hayesja02
299,Kris Murray,25,POR,SF,28,6,25.3,2.3,5.0,.461,0.6,2.1,.267,1.8,2.9,.605,.518,0.7,1.0,.690,1.8,2.2,4.0,1.0,1.1,0.4,0.9,2.1,5.9,,murrakr01
300,Steven Adams,32,HOU,C,22,5,21.5,2.1,4.4,.474,0.0,0.0,,2.1,4.4,.474,.474,1.6,2.3,.706,4.4,4.2,8.6,1.5,0.7,0.6,1.0,1.9,5.8,,adamsst01
301,Sidy Cissoko,21,POR,SF,25,10,20.2,1.9,4.8,.397,0.9,2.9,.306,1.0,2.0,.531,.488,1.0,1.4,.722,0.8,1.4,2.2,1.4,0.5,0.2,1.2,2.5,5.8,,cissosi01
302,Kasparas Jakučionis,19,MIA,PG,5,1,16.8,1.6,4.8,.333,1.4,3.0,.467,0.2,1.8,.111,.479,1.2,1.2,1.000,1.0,1.0,2.0,1.0,0.4,0.0,0.8,1.8,5.8,,jakucka01
303,Paul Reed,26,DET,C,22,2,10.6,2.5,3.9,.647,0.3,0.6,.462,2.2,3.3,.681,.682,0.5,0.9,.600,1.8,2.2,4.0,1.0,0.7,0.6,1.0,1.4,5.8,,reedpa01
304,Dean Wade,29,CLE,PF,29,8,23.0,1.9,5.0,.386,1.2,3.7,.315,0.8,1.3,.595,.503,0.7,1.0,.724,0.9,3.2,4.1,1.7,0.7,0.4,0.3,1.8,5.8,,wadede01
305,Dalton Knecht,24,LAL,SF,23,1,14.5,2.2,4.8,.450,0.9,2.8,.328,1.3,2.0,.617,.545,0.5,0.7,.688,0.4,1.5,1.9,0.5,0.3,0.3,0.4,1.2,5.7,,knechda01
306,Lonzo Ball,28,CLE,PG,23,3,23.9,1.9,6.1,.305,1.3,5.0,.263,0.6,1.2,.481,.411,0.5,0.8,.667,1.0,3.4,4.5,4.8,1.4,0.3,1.7,1.5,5.6,,balllo01
307,Alex Caruso,31,OKC,SG,20,0,18.8,2.1,5.1,.406,1.0,3.1,.323,1.1,2.0,.538,.505,0.5,0.6,.833,0.7,2.5,3.2,2.4,1.7,0.4,1.0,1.3,5.6,,carusal01
308,Al Horford,39,GSW,C,13,1,21.5,1.9,6.0,.321,1.3,4.4,.298,0.6,1.6,.381,.429,0.5,0.5,1.000,0.8,3.5,4.4,2.0,1.0,1.0,1.2,1.5,5.6,,horfoal01
309,Ethan Thompson,26,IND,SG,10,5,21.1,2.0,5.2,.385,1.2,3.7,.324,0.8,1.5,.533,.500,0.4,0.5,.800,0.8,1.2,2.0,1.6,0.7,0.4,0.4,2.4,5.6,,thompet01
310,Eric Gordon,37,PHI,SG,6,0,12.3,2.0,3.5,.571,1.3,2.3,.571,0.7,1.2,.571,.762,0.2,0.3,.500,0.2,0.2,0.3,0.5,0.7,0.2,0.5,0.5,5.5,,gordoer01
311,Mouhamed Gueye,23,ATL,PF,30,3,16.5,2.3,4.7,.486,0.5,2.0,.250,1.8,2.7,.663,.539,0.4,0.8,.565,1.1,2.3,3.4,0.8,0.6,0.7,0.6,1.7,5.5,,gueyemo02
312,Jeremy Sochan,22,SAS,PF,19,0,15.9,2.3,4.6,.494,0.4,1.4,.269,1.9,3.2,.590,.534,0.6,0.8,.688,1.2,2.2,3.4,1.3,0.5,0.2,0.8,2.2,5.5,,sochaje01
313,Jaylin Williams,23,OKC,PF,25,3,18.3,1.8,5.0,.355,1.2,4.1,.294,0.6,0.9,.636,.476,0.8,1.2,.655,0.5,4.2,4.7,2.4,0.7,0.5,1.0,1.8,5.5,,willija07
314,Mike Conley,38,MIN,PG,26,6,19.7,1.6,4.4,.360,1.2,3.2,.366,0.4,1.2,.344,.491,1.1,1.2,.935,0.4,1.5,1.9,3.3,0.7,0.2,0.7,1.7,5.4,,conlemi01
315,Justin Edwards,22,PHI,SF,25,5,16.8,1.9,5.1,.367,1.1,3.4,.321,0.8,1.8,.455,.473,0.6,0.6,.933,0.6,1.2,1.8,1.4,0.7,0.2,0.8,1.8,5.4,,edwarju01
316,Asa Newell,20,ATL,PF,21,0,10.2,2.0,3.6,.573,0.9,1.7,.514,1.2,1.9,.625,.693,0.4,0.6,.692,0.9,1.0,1.9,0.5,0.4,0.3,0.5,1.5,5.4,,newelas01
317,Ben Saraf,19,BRK,SG,12,5,16.9,1.8,5.2,.355,0.8,2.8,.273,1.1,2.4,.448,.427,1.0,1.3,.800,0.4,1.2,1.6,2.8,0.7,0.3,1.9,1.3,5.4,,sarafbe01
318,Ja'Kobe Walter,21,TOR,SG,28,7,16.9,1.9,4.5,.421,1.1,2.9,.375,0.8,1.6,.500,.540,0.5,0.8,.667,0.7,1.3,2.0,0.8,1.0,0.1,0.6,2.0,5.4,,walteja01
319,Drew Eubanks,28,SAC,C,25,11,14.4,2.2,3.6,.615,0.0,0.1,.500,2.2,3.6,.618,.621,0.8,1.5,.526,0.8,2.0,2.8,0.3,0.5,0.7,0.9,1.4,5.3,,eubandr01
320,Jett Howard,22,ORL,SF,21,0,11.6,1.9,4.4,.435,1.0,3.0,.355,0.9,1.4,.600,.554,0.4,0.4,1.000,0.3,1.1,1.4,0.9,0.2,0.1,0.2,1.0,5.3,,howarje01
321,Yves Missi,21,NOP,C,23,6,17.3,2.3,4.1,.574,0.0,0.0,,2.3,4.1,.574,.574,0.7,1.3,.517,3.0,2.2,5.2,1.1,0.2,1.1,1.0,1.8,5.3,,missiyv01
322,Josh Green,25,CHO,SG,6,0,14.7,1.8,3.5,.524,1.3,3.0,.444,0.5,0.5,1.000,.714,0.2,0.3,.500,0.8,1.0,1.8,1.2,1.2,0.0,0.5,1.3,5.2,,greenjo02
323,Garrison Mathews,29,IND,SG,15,1,13.1,1.4,3.5,.404,1.1,3.1,.370,0.3,0.4,.667,.567,1.3,1.5,.826,0.1,1.0,1.1,0.7,0.4,0.2,0.2,1.3,5.2,,mathega01
324,Craig Porter Jr.,25,CLE,PG,27,0,16.1,2.1,4.0,.533,0.6,1.4,.432,1.5,2.6,.586,.607,0.4,0.6,.588,1.4,1.7,3.1,2.5,1.0,0.6,0.8,1.1,5.2,,portecr01
325,Tyrese Proctor,21,CLE,PG,23,1,11.9,1.7,5.1,.333,1.0,3.3,.293,0.7,1.8,.405,.427,0.8,1.0,.826,0.2,1.3,1.4,1.4,0.3,0.0,0.5,1.1,5.2,,proctty01
326,Jalen Wilson,25,BRK,PF,20,0,14.0,1.7,4.4,.379,1.1,2.9,.362,0.6,1.5,.414,.500,0.8,1.1,.762,0.1,1.0,1.1,0.6,0.3,0.0,0.5,1.3,5.2,,wilsoja03
327,Justin Champagnie,24,WAS,SF,26,8,15.2,1.8,4.2,.440,0.3,1.5,.225,1.5,2.7,.565,.482,1.1,1.4,.757,1.9,3.0,5.0,0.9,0.7,0.4,0.3,1.3,5.1,,champju01
328,Branden Carlson,26,OKC,C,20,1,10.7,2.1,3.6,.569,0.8,1.8,.417,1.3,1.8,.722,.674,0.2,0.4,.429,0.5,1.7,2.2,0.7,0.1,0.6,0.4,1.0,5.0,,carlsbr01
329,Nique Clifford,23,SAC,SG,26,3,17.9,1.9,4.8,.392,0.6,2.2,.268,1.3,2.7,.493,.452,0.7,0.9,.750,0.6,2.1,2.7,1.3,0.5,0.3,0.9,2.2,5.0,,cliffni01
330,Jordan Hawkins,23,NOP,SG,24,0,14.2,1.8,5.3,.339,1.0,3.0,.338,0.8,2.3,.339,.433,0.4,0.6,.714,0.4,1.3,1.7,0.8,0.1,0.1,0.5,0.6,5.0,,hawkijo01
331,Spencer Jones,24,DEN,SF,25,14,18.3,2.0,3.6,.538,0.7,1.9,.354,1.3,1.7,.744,.632,0.4,0.8,.550,1.1,1.1,2.2,0.9,0.8,0.2,0.6,2.5,5.0,,jonessp01
332,Matisse Thybulle,28,POR,SG,4,0,12.3,1.5,2.5,.600,1.0,1.5,.667,0.5,1.0,.500,.800,1.0,1.0,1.000,0.0,1.0,1.0,0.8,2.5,0.0,0.3,1.8,5.0,,thybuma01
333,Keon Ellis,26,SAC,SG,28,2,16.5,1.7,4.4,.379,1.1,3.2,.348,0.6,1.3,.457,.504,0.5,0.8,.591,0.4,1.0,1.4,0.7,1.3,0.4,0.5,1.8,4.9,,elliske01
334,Oso Ighodaro,23,PHO,PF,29,5,18.4,2.3,3.9,.589,0.0,0.0,.000,2.3,3.8,.595,.589,0.4,1.0,.393,1.1,3.0,4.1,1.8,0.8,0.6,1.2,2.6,4.9,,ighodos01
335,Thomas Bryant,28,CLE,C,24,0,9.9,1.8,3.4,.512,0.5,1.6,.316,1.3,1.8,.682,.585,0.8,1.0,.826,0.7,2.0,2.7,0.4,0.3,0.4,0.3,1.3,4.8,,bryanth01
336,Tyler Kolek,24,NYK,PG,25,1,12.4,2.0,4.3,.472,0.5,1.8,.289,1.5,2.5,.603,.532,0.2,0.3,.625,0.3,1.4,1.8,2.6,0.6,0.1,0.9,1.2,4.8,,kolekty01
337,Liam McNeeley,20,CHO,SF,20,0,13.1,1.4,3.5,.406,1.0,2.3,.413,0.5,1.2,.391,.543,1.1,1.3,.840,0.5,1.8,2.3,0.9,0.2,0.1,0.5,1.5,4.8,,mcneeli01
338,Micah Peavy,24,NOP,SG,25,1,15.5,2.0,4.8,.413,0.4,1.6,.250,1.6,3.2,.494,.455,0.4,0.6,.714,1.0,1.4,2.4,1.0,0.6,0.1,0.4,1.5,4.8,,peavymi01
339,Terrence Shannon Jr.,25,MIN,SG,21,0,13.0,1.5,3.7,.410,0.7,1.7,.429,0.8,2.0,.395,.506,1.0,1.3,.778,0.3,1.0,1.3,0.7,0.3,0.0,0.7,1.4,4.8,,shannte01
340,Trey Alexander,22,NOP,SG,3,0,12.3,2.0,3.0,.667,0.7,1.0,.667,1.3,2.0,.667,.778,0.0,0.0,,0.0,1.3,1.3,1.3,0.3,0.3,0.3,1.3,4.7,,alexatr01
341,Olivier-Maxence Prosper,23,MEM,PF,18,0,10.7,1.4,3.0,.481,0.3,1.1,.316,1.1,1.9,.571,.537,1.4,1.6,.929,0.7,1.4,2.1,0.8,0.1,0.1,0.6,0.8,4.7,,prospol01
342,Mitchell Robinson,27,NYK,C,20,11,18.6,2.0,2.9,.684,0.0,0.0,,2.0,2.9,.684,.684,0.8,1.9,.421,4.6,4.0,8.5,1.1,0.9,1.2,0.8,2.3,4.7,,robinmi01
343,Gabe Vincent,29,LAL,PG,14,6,21.5,1.5,4.3,.350,1.2,3.4,.362,0.3,0.9,.308,.492,0.5,0.5,1.000,0.3,0.6,0.9,1.4,0.5,0.1,0.4,2.5,4.7,,vincega01
344,RayJ Dennis,24,2TM,PG,14,0,12.3,1.6,5.1,.306,0.9,2.7,.316,0.7,2.4,.294,.389,0.6,0.6,.889,0.6,1.1,1.6,1.9,0.2,0.3,1.1,1.1,4.6,,dennira01
344,RayJ Dennis,24,IND,PG,13,0,12.9,1.7,5.5,.306,0.9,2.9,.316,0.8,2.6,.294,.389,0.6,0.7,.889,0.6,1.0,1.6,2.0,0.2,0.3,1.1,1.2,4.9,,dennira01
344,RayJ Dennis,24,LAC,PG,1,0,4.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,,dennira01
345,Karlo Matković,24,NOP,PF,21,0,11.5,2.0,3.3,.623,0.3,0.8,.412,1.7,2.5,.692,.674,0.1,0.5,.300,0.8,2.5,3.3,0.9,0.1,0.7,0.5,1.5,4.6,,matkoka01
346,Jase Richardson,20,ORL,SG,19,0,9.3,1.8,3.7,.486,0.6,1.5,.429,1.2,2.2,.524,.571,0.4,0.6,.727,0.5,0.7,1.2,1.2,0.3,0.1,0.6,0.8,4.6,,richaja02
347,Jeremiah Robinson-Earl,25,IND,PF,17,3,17.6,1.7,4.9,.349,0.5,1.9,.242,1.2,2.9,.420,.398,0.8,0.8,.929,1.9,3.3,5.2,0.7,0.4,0.1,0.6,1.4,4.6,,robinje02
348,Jarred Vanderbilt,26,LAL,PF,19,2,18.3,1.6,3.7,.423,0.4,1.3,.333,1.2,2.5,.468,.479,1.0,1.3,.760,1.8,3.7,5.6,1.3,0.9,0.4,1.4,1.8,4.6,,vandeja01
349,Nicolas Batum,37,LAC,PF,28,2,19.9,1.5,3.8,.383,1.4,3.6,.382,0.1,0.2,.400,.565,0.2,0.3,.857,0.5,2.2,2.7,0.7,0.8,0.4,0.7,2.0,4.5,,batumni01
350,Tony Bradley,28,IND,C,24,3,11.0,1.8,3.1,.568,0.0,0.0,.000,1.8,3.0,.575,.568,1.0,1.3,.742,1.6,1.0,2.5,0.6,0.1,0.2,0.4,1.9,4.5,,bradlto01
351,DeAndre Jordan,37,NOP,C,2,1,11.5,2.0,2.5,.800,0.0,0.0,,2.0,2.5,.800,.800,0.5,1.0,.500,2.0,3.0,5.0,0.0,0.0,0.0,0.5,0.5,4.5,,jordade01
352,Noah Penda,21,ORL,SF,17,0,11.1,1.7,3.6,.475,0.6,1.4,.478,1.1,2.2,.474,.566,0.4,0.8,.538,1.9,2.2,4.1,1.2,0.2,0.4,0.8,1.1,4.5,,pendano01
353,Will Riley,19,WAS,SF,22,0,11.5,1.6,3.6,.456,0.3,1.2,.231,1.4,2.4,.566,.494,0.9,1.2,.769,0.7,0.9,1.6,1.0,0.3,0.1,0.6,0.6,4.5,,rileywi01
354,Jabari Walker,23,PHI,PF,27,6,14.0,1.5,3.6,.427,0.4,1.5,.293,1.1,2.0,.527,.490,1.0,1.3,.750,1.4,2.3,3.6,0.6,0.2,0.3,0.5,1.9,4.5,,walkeja01
355,Ousmane Dieng,22,OKC,C,17,0,12.5,1.6,3.6,.443,0.8,1.9,.438,0.8,1.7,.448,.557,0.4,0.4,1.000,0.4,1.4,1.8,0.9,0.1,0.3,0.4,1.1,4.4,,diengou01
356,GG Jackson II,21,MEM,PF,10,1,9.6,1.6,4.2,.381,0.4,2.0,.200,1.2,2.2,.545,.429,0.8,1.1,.727,0.3,2.2,2.5,0.3,0.5,0.3,0.3,0.7,4.4,,jacksgg01
357,Trayce Jackson-Davis,25,GSW,C,20,1,12.9,1.7,3.0,.576,0.0,0.0,,1.7,3.0,.576,.576,1.0,1.6,.613,1.5,2.2,3.7,1.2,0.3,0.7,0.6,1.3,4.4,,jackstr02
358,Jaylen Clark,24,MIN,SG,27,0,14.4,1.5,3.6,.427,0.6,1.8,.327,0.9,1.7,.532,.510,0.7,1.2,.563,1.0,1.0,2.0,0.6,0.8,0.1,0.4,1.7,4.3,,clarkja02
359,Hugo González,19,BOS,SF,24,1,14.2,1.8,3.4,.531,0.5,1.2,.414,1.3,2.2,.596,.605,0.2,0.4,.444,0.8,2.3,3.1,0.5,0.8,0.3,0.7,2.1,4.3,,gonzahu01
360,Dereck Lively II,21,DAL,C,7,4,16.4,1.6,2.6,.611,0.0,0.0,,1.6,2.6,.611,.611,1.1,1.4,.800,2.0,3.3,5.3,1.9,0.6,1.6,1.4,3.0,4.3,,livelde01
361,Kelly Olynyk,34,SAS,C,17,0,10.4,1.4,2.8,.511,0.4,1.4,.292,1.0,1.4,.739,.585,1.0,1.4,.739,0.8,1.6,2.4,1.5,0.4,0.0,0.7,1.4,4.2,,olynyke01
362,Ochai Agbaji,25,TOR,SG,23,7,16.3,1.6,4.0,.398,0.3,1.5,.206,1.3,2.6,.508,.435,0.6,0.7,.824,0.5,1.7,2.3,0.8,0.5,0.3,0.3,2.0,4.1,,agbajoc01
363,Cam Christie,20,LAC,SG,18,0,10.7,1.2,3.5,.349,0.5,1.6,.310,0.7,1.9,.382,.421,1.2,1.7,.700,0.4,1.6,2.0,0.6,0.3,0.1,0.3,0.6,4.1,,chrisca02
364,Keaton Wallace,26,ATL,PG,27,2,13.5,1.5,3.8,.402,0.9,2.3,.397,0.6,1.4,.410,.525,0.2,0.4,.500,0.0,1.4,1.4,2.6,0.6,0.1,0.7,1.2,4.1,,wallake01
365,Brandon Clarke,29,MEM,PF,2,2,10.0,1.5,4.5,.333,0.0,0.0,,1.5,4.5,.333,.333,1.0,2.0,.500,2.0,1.0,3.0,0.5,1.0,0.0,0.0,2.5,4.0,,clarkbr01
366,Jamison Battle,24,TOR,SF,21,1,8.4,1.5,2.3,.633,0.8,1.4,.533,0.7,0.9,.789,.796,0.2,0.2,.800,0.2,1.3,1.5,0.4,0.2,0.0,0.4,0.7,3.9,,battlja01
367,Gary Payton II,33,GSW,SG,28,1,11.8,1.7,3.5,.485,0.3,1.1,.281,1.4,2.4,.582,.530,0.1,0.3,.571,1.0,2.1,3.1,1.7,0.6,0.3,0.8,1.5,3.9,,paytoga02
368,Adem Bona,22,PHI,C,20,3,16.6,1.4,2.5,.551,0.1,0.2,.500,1.3,2.3,.556,.571,1.0,1.6,.625,1.7,2.0,3.7,0.2,0.4,1.5,0.7,2.2,3.8,,bonaad01
369,Johnny Furphy,21,IND,SG,12,0,13.8,1.5,3.3,.462,0.5,1.6,.316,1.0,1.7,.600,.538,0.3,0.5,.500,0.7,1.6,2.3,0.3,0.5,0.0,0.5,1.3,3.8,,furphjo01
370,Javon Small,23,MEM,PG,9,0,12.3,1.1,3.6,.313,0.7,2.4,.273,0.4,1.1,.400,.406,0.9,1.1,.800,0.1,1.0,1.1,3.2,0.1,0.1,1.0,1.2,3.8,,smallja01
371,Rob Dillingham,21,MIN,PG,25,0,10.6,1.5,4.4,.349,0.3,1.0,.292,1.2,3.4,.365,.381,0.4,0.6,.714,0.2,1.1,1.3,2.0,0.6,0.1,1.0,1.2,3.7,,dilliro01
372,Malaki Branham,22,WAS,SG,14,0,7.9,1.1,2.7,.421,0.2,1.1,.200,0.9,1.6,.565,.461,1.1,1.4,.800,0.4,1.4,1.8,0.8,0.1,0.1,0.5,0.8,3.6,,branhma01
373,Devin Carter,23,SAC,PG,9,0,9.6,1.1,3.4,.323,0.6,1.9,.294,0.6,1.6,.357,.403,0.8,0.8,1.000,0.4,1.0,1.4,1.4,0.7,0.1,0.9,1.0,3.6,,cartede02
374,Pat Connaughton,33,CHO,SG,15,0,8.4,1.3,2.5,.500,0.7,1.7,.400,0.6,0.9,.692,.632,0.4,0.6,.667,0.3,1.3,1.7,0.5,0.3,0.1,0.2,0.3,3.6,,connapa01
375,Larry Nance Jr.,33,CLE,PF,16,2,15.0,1.4,4.1,.354,0.6,2.1,.303,0.8,2.0,.406,.431,0.1,0.2,.333,0.8,2.0,2.8,1.3,0.6,0.3,0.6,2.4,3.6,,nancela02
376,Charles Bassey,25,MEM,C,2,0,15.5,1.5,4.0,.375,0.0,0.0,,1.5,4.0,.375,.375,0.5,1.5,.333,3.5,4.0,7.5,1.0,0.5,0.5,0.5,2.5,3.5,,bassech01
377,Kobe Brown,26,LAC,PF,20,0,11.3,1.2,3.1,.371,0.5,2.1,.244,0.7,1.1,.619,.452,0.7,0.8,.875,0.6,1.5,2.0,1.0,0.4,0.1,0.5,0.5,3.5,,brownko01
378,Clint Capela,31,HOU,C,25,1,11.0,1.5,2.8,.543,0.0,0.0,,1.5,2.8,.543,.543,0.5,0.8,.571,2.4,2.0,4.5,0.4,0.4,0.6,0.5,0.9,3.5,,capelca01
379,Keshad Johnson,24,MIA,SF,12,0,10.0,1.2,3.3,.359,0.4,1.4,.294,0.8,1.8,.409,.423,0.8,1.1,.692,0.9,1.6,2.5,0.1,0.4,0.3,0.3,0.8,3.5,,johnske10
380,Antonio Reeves,25,CHO,SG,6,0,8.8,1.3,2.7,.500,0.8,1.7,.500,0.5,1.0,.500,.656,0.0,0.0,,0.2,0.7,0.8,0.3,0.2,0.0,0.0,0.5,3.5,,reevean01
381,Julian Strawther,23,DEN,SG,13,0,8.1,1.2,3.3,.349,0.3,1.6,.190,0.8,1.7,.500,.395,0.8,1.2,.688,0.1,1.2,1.2,0.5,0.1,0.1,0.4,0.8,3.5,,strawju01
382,Jamir Watkins,24,WAS,SG,11,1,12.8,1.2,2.2,.542,0.4,1.2,.308,0.8,1.0,.818,.625,0.7,0.7,1.000,0.5,2.2,2.6,0.5,0.3,0.3,0.4,1.9,3.5,,watkija01
