Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
184,Isaiah Stewart,24,DET,C,27,7,22.7,3.8,7.2,.528,1.0,2.5,.382,2.9,4.7,.606,.595,1.6,2.2,.733,2.0,4.0,6.0,1.2,0.2,1.9,1.2,3.0,10.2,,stewais01
185,Kyle Filipowski,22,UTA,C,28,11,23.2,3.6,7.5,.486,0.9,2.7,.342,2.7,4.8,.567,.548,1.8,2.6,.708,1.8,4.8,6.6,2.2,0.5,0.5,1.2,2.8,10.0,,filipky01
186,Neemias Queta,26,BOS,C,27,27,24.6,4.4,6.6,.663,0.0,0.1,.000,4.4,6.5,.674,.663,1.3,2.1,.596,3.1,4.8,7.9,1.6,0.7,1.2,0.8,3.0,10.0,,quetane01
187,Maxime Raynaud,22,SAC,C,22,8,20.9,4.0,7.8,.520,0.3,0.9,.316,3.8,6.9,.546,.538,1.6,2.1,.761,1.9,4.0,5.9,1.0,0.5,0.5,1.1,2.4,10.0,,raynama01
188,Jordan Clarkson,33,NYK,SG,29,0,20.3,3.7,8.4,.439,1.3,4.0,.333,2.3,4.4,.535,.518,1.2,1.6,.756,0.9,1.1,2.0,1.5,0.4,0.2,1.2,2.0,9.9,,clarkjo01
189,Herbert Jones,27,NOP,SF,22,22,28.0,3.6,8.8,.407,1.4,4.1,.344,2.2,4.7,.462,.487,1.2,1.5,.813,1.0,2.6,3.7,2.4,1.7,0.3,1.3,3.3,9.8,,joneshe01
190,T.J. McConnell,33,IND,PG,19,0,16.9,4.7,8.4,.556,0.3,1.1,.300,4.4,7.4,.593,.575,0.2,0.2,1.000,0.3,2.4,2.7,4.6,1.1,0.2,1.1,1.1,9.8,,mccontj01
191,Davion Mitchell,27,MIA,PG,28,28,30.3,3.9,7.9,.500,1.1,2.8,.390,2.9,5.1,.559,.568,0.8,1.3,.639,0.4,2.2,2.6,7.5,1.2,0.1,1.5,2.8,9.8,,mitchda01
192,Tristan Da Silva,24,ORL,SF,26,10,23.2,3.6,8.2,.439,1.6,4.4,.365,2.0,3.8,.525,.537,0.8,1.0,.815,0.8,3.1,3.9,1.2,0.8,0.2,1.0,1.2,9.7,,dasiltr01
193,Jakob Poeltl,30,TOR,C,21,21,25.3,4.2,6.0,.693,0.0,0.0,,4.2,6.0,.693,.693,1.3,2.2,.596,2.7,5.0,7.7,2.1,0.8,0.5,1.6,3.1,9.7,,poeltja01
194,Gary Trent Jr.,27,MIL,SG,30,17,26.8,3.3,8.4,.391,2.2,5.8,.371,1.1,2.6,.436,.520,0.8,1.0,.806,0.1,1.2,1.4,1.6,0.8,0.1,0.7,1.5,9.6,,trentga02
195,Egor Dёmin,19,BRK,PG,26,19,23.8,3.3,8.3,.396,2.1,5.7,.365,1.2,2.7,.464,.521,0.7,0.8,.864,0.5,2.7,3.2,3.5,0.9,0.3,1.8,1.8,9.4,,demineg01
196,Svi Mykhailiuk,28,UTA,SF,28,28,25.3,3.5,7.4,.469,2.0,5.0,.396,1.5,2.4,.618,.601,0.5,0.5,.929,0.7,1.9,2.6,2.0,0.6,0.1,0.9,1.3,9.4,,mykhasv01
197,Simone Fontecchio,30,MIA,SF,29,1,19.0,3.0,7.7,.386,2.0,5.4,.363,1.0,2.3,.439,.513,1.4,1.8,.804,0.5,2.5,3.0,1.7,0.4,0.2,1.0,1.6,9.3,,fontesi01
198,Landry Shamet,28,NYK,SG,15,6,20.9,2.8,6.2,.452,1.9,4.4,.424,0.9,1.8,.519,.602,1.8,2.3,.794,0.5,1.5,2.0,1.2,0.4,0.2,0.5,1.3,9.3,,shamela01
199,Cam Whitmore,21,WAS,SF,21,0,16.9,3.7,8.0,.456,0.8,2.7,.286,2.9,5.4,.540,.503,1.1,1.5,.742,0.9,1.9,2.8,0.7,0.7,0.4,0.9,1.2,9.2,,whitmca01
200,Dominick Barlow,22,PHI,PF,18,15,26.6,3.6,6.6,.538,0.4,1.8,.250,3.1,4.8,.644,.571,1.5,1.9,.794,2.1,3.5,5.6,1.8,0.8,1.0,1.1,2.3,9.1,,barlodo01
201,Zach Collins,28,CHI,C,8,0,17.5,3.4,5.9,.574,0.9,2.1,.412,2.5,3.8,.667,.649,1.4,2.0,.688,1.5,3.6,5.1,1.5,0.3,0.4,1.3,1.9,9.0,,colliza01
202,Jarace Walker,22,IND,PF,30,12,24.5,2.9,8.8,.335,1.4,4.6,.295,1.6,4.1,.379,.413,1.8,2.2,.791,0.5,4.2,4.7,1.9,0.6,0.4,1.8,1.7,9.0,,walkeja02
203,Corey Kispert,26,WAS,SF,18,2,19.5,3.1,6.2,.495,1.6,3.9,.394,1.5,2.2,.675,.622,1.3,1.7,.742,0.3,2.1,2.4,1.8,0.4,0.2,0.6,1.1,8.9,,kispeco01
204,Brice Sensabaugh,22,UTA,SF,28,1,16.5,3.0,7.3,.412,1.5,4.4,.331,1.5,2.9,.538,.512,1.4,1.6,.889,0.6,2.0,2.6,1.3,0.6,0.2,0.8,1.8,8.9,,sensabr01
205,Trendon Watford,25,PHI,PF,14,4,20.4,3.4,6.3,.534,0.5,1.3,.389,2.9,5.0,.571,.574,1.7,2.1,.800,1.1,3.6,4.7,3.6,0.4,0.2,1.5,2.7,8.9,,watfotr01
206,Bub Carrington,20,WAS,PG,28,11,27.4,3.0,7.8,.392,1.8,4.2,.424,1.3,3.5,.354,.507,1.0,1.4,.711,0.4,3.4,3.8,4.3,0.5,0.1,2.1,2.4,8.8,,carrica01
207,Bilal Coulibaly,21,WAS,SG,14,14,26.6,2.9,7.9,.360,1.0,3.9,.259,1.9,4.1,.456,.423,2.1,2.8,.744,0.6,3.4,4.1,2.8,1.1,0.9,1.9,2.4,8.8,,coulibi01
208,Jake LaRavia,24,LAL,PF,28,9,25.1,3.2,7.0,.457,1.0,3.0,.318,2.3,4.0,.563,.525,1.4,2.0,.684,1.5,2.8,4.2,1.9,1.3,0.4,1.0,2.3,8.8,,laravja01
209,Tre Mann,24,CHO,PG,21,1,19.9,3.3,9.4,.354,1.5,4.8,.307,1.9,4.6,.402,.432,0.6,0.7,.867,0.9,2.0,2.9,2.6,0.6,0.1,1.8,2.1,8.8,,manntr01
210,Jusuf Nurkić,31,UTA,C,26,21,24.8,3.5,7.5,.474,0.4,1.4,.270,3.2,6.0,.522,.500,1.3,2.7,.493,2.5,7.1,9.6,4.1,1.4,0.3,2.5,3.2,8.8,,nurkiju01
211,Ryan Kalkbrenner,24,CHO,C,26,25,25.6,3.7,4.7,.787,0.0,0.1,.000,3.7,4.6,.800,.787,1.3,1.8,.723,2.6,3.8,6.4,0.6,0.7,1.8,1.2,1.8,8.7,,kalkbry01
212,Pelle Larsson,24,MIA,SG,24,16,21.9,3.0,6.7,.444,1.0,3.1,.338,1.9,3.6,.535,.522,1.8,2.3,.778,0.5,2.0,2.5,3.2,0.5,0.2,1.0,1.9,8.7,,larsspe01
213,Jonas Valančiūnas,33,DEN,C,29,0,13.1,3.6,6.1,.588,0.1,0.4,.250,3.5,5.7,.612,.596,1.4,1.8,.755,1.4,3.2,4.6,1.2,0.2,0.6,1.0,1.9,8.7,,valanjo01
214,Ziaire Williams,24,BRK,SF,25,2,22.2,2.8,7.1,.390,1.5,5.2,.295,1.2,1.9,.646,.497,1.7,2.0,.857,0.6,1.8,2.5,0.7,0.9,0.5,1.1,2.0,8.7,,willizi02
